42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: CloneQuote.cloneQuote('0Q0f40000009bwtCAA');
13:30:12.1 (1211274)|USER_INFO|[EXTERNAL]|005f4000001uuP2|nmolinam@deloitte.com|Hora de Venezuela|GMT-04:00
13:30:12.1 (1250563)|EXECUTION_STARTED
13:30:12.1 (1257966)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
13:30:12.1 (1631077)|HEAP_ALLOCATE|[72]|Bytes:3
13:30:12.1 (1712307)|HEAP_ALLOCATE|[77]|Bytes:152
13:30:12.1 (1734474)|HEAP_ALLOCATE|[342]|Bytes:408
13:30:12.1 (1770277)|HEAP_ALLOCATE|[355]|Bytes:408
13:30:12.1 (1789632)|HEAP_ALLOCATE|[467]|Bytes:48
13:30:12.1 (1836675)|HEAP_ALLOCATE|[139]|Bytes:6
13:30:12.1 (1872495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
13:30:12.1 (1983908)|STATEMENT_EXECUTE|[1]
13:30:12.1 (1987667)|STATEMENT_EXECUTE|[1]
13:30:12.1 (1992201)|HEAP_ALLOCATE|[1]|Bytes:18
13:30:12.1 (2016575)|HEAP_ALLOCATE|[1]|Bytes:4
13:30:12.1 (2083269)|HEAP_ALLOCATE|[50]|Bytes:5
13:30:12.1 (2115838)|HEAP_ALLOCATE|[56]|Bytes:5
13:30:12.1 (2128422)|HEAP_ALLOCATE|[64]|Bytes:7
13:30:12.1 (2161744)|SYSTEM_MODE_ENTER|false
13:30:12.1 (2191364)|HEAP_ALLOCATE|[1]|Bytes:5
13:30:12.1 (11285957)|HEAP_ALLOCATE|[1]|Bytes:1
13:30:12.1 (11317449)|HEAP_ALLOCATE|[1]|Bytes:5
13:30:12.1 (11355422)|METHOD_ENTRY|[1]|01pf4000009Vx35|CloneQuote.CloneQuote()
